                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1012,                 3.0406,                 1.6122,                0.39599,                0.06566,                0.11471,                0.04571,                 2.0304,                 3.0119,                 1.6166,             0.00054913,             0.00054913,             0.00054913
                      2,                 2.0602,                 2.0333,                 1.6052,                0.23354,                 0.3036,                0.18412,                0.06008,                 2.2578,                 2.3005,                 1.7923,              0.0010496,              0.0010496,              0.0010496
                      3,                  2.001,                 1.9252,                 1.5876,                0.23789,                 0.2723,                0.16013,                0.05726,                 2.2483,                 2.7925,                 1.8606,              0.0014946,              0.0014946,              0.0014946
                      4,                 1.9963,                 1.8847,                 1.5766,                0.27451,                0.32238,                 0.2155,                0.07889,                 2.2451,                 2.4788,                 1.8206,              0.0014172,              0.0014172,              0.0014172
                      5,                 1.9079,                 1.7803,                 1.5237,                0.34455,                0.32577,                0.25887,                0.09724,                 2.2074,                 2.0873,                 1.6854,              0.0013339,              0.0013339,              0.0013339
                      6,                 1.8312,                 1.7257,                  1.492,                0.25396,                0.30673,                0.20421,                0.07761,                 2.1879,                 2.4295,                 1.7502,              0.0012507,              0.0012507,              0.0012507
                      7,                 1.8232,                 1.6847,                 1.4786,                0.31552,                0.36463,                0.25584,                0.09738,                 2.1471,                 2.0997,                 1.7337,              0.0011674,              0.0011674,              0.0011674
                      8,                 1.7526,                 1.5884,                 1.4322,                0.38334,                 0.3662,                0.30504,                0.12664,                 2.1444,                 1.9678,                  1.665,              0.0010841,              0.0010841,              0.0010841
                      9,                 1.6843,                 1.5144,                 1.3947,                0.38338,                0.37246,                0.30168,                0.10857,                 2.1477,                 1.9684,                 1.6926,              0.0010009,              0.0010009,              0.0010009
                     10,                 1.6641,                 1.4356,                 1.3827,                0.35926,                0.36591,                 0.2929,                0.11267,                  2.156,                 1.9769,                 1.7045,              0.0009176,              0.0009176,              0.0009176
                     11,                 1.8967,                 1.9534,                 1.5755,                0.36874,                0.38028,                0.34091,                0.14498,                 1.9398,                 1.9475,                 1.6361,             0.00083433,             0.00083433,             0.00083433
                     12,                 1.8347,                 1.8179,                 1.5205,                0.41516,                0.38967,                0.35806,                0.14493,                 1.9868,                 1.8701,                 1.6035,             0.00075107,             0.00075107,             0.00075107
                     13,                 1.7844,                 1.7718,                 1.5054,                0.44494,                0.39013,                0.39503,                0.16769,                  1.957,                  1.821,                   1.57,              0.0006678,              0.0006678,              0.0006678
                     14,                 1.7528,                  1.721,                 1.4824,                0.54615,                0.41054,                0.42789,                0.17651,                 1.8786,                 1.7481,                 1.5134,             0.00058453,             0.00058453,             0.00058453
                     15,                 1.7549,                 1.6805,                 1.4529,                0.49324,                0.40376,                0.39311,                0.17393,                 1.9298,                 1.7679,                  1.522,             0.00050127,             0.00050127,             0.00050127
                     16,                 1.7316,                 1.6397,                 1.4469,                0.46785,                0.42514,                0.44363,                0.19681,                 1.8739,                 1.7117,                 1.5108,               0.000418,               0.000418,               0.000418
                     17,                 1.6778,                 1.6279,                 1.4264,                0.47611,                0.44943,                0.43378,                0.18032,                 1.8851,                 1.7413,                 1.5222,             0.00033473,             0.00033473,             0.00033473
                     18,                 1.6756,                 1.5871,                 1.4099,                0.48365,                0.46322,                0.45065,                0.19836,                 1.8584,                 1.6496,                 1.4985,             0.00025147,             0.00025147,             0.00025147
                     19,                 1.6504,                 1.5592,                 1.3998,                0.53216,                0.41833,                0.45076,                0.19694,                 1.8341,                 1.6461,                 1.4837,              0.0001682,              0.0001682,              0.0001682
                     20,                 1.6069,                 1.5355,                 1.3853,                0.48328,                0.46692,                0.46069,                0.19904,                 1.8484,                 1.6514,                  1.491,             8.4934e-05,             8.4934e-05,             8.4934e-05
